batter,career_strike_rate
GH Vihari,83.54731336186401
GHS Garton,57.14285714285714
GJ Bailey,107.34744707347448
GJ Maxwell,163.11045902326555
GR Napier,79.41176470588235
Gulbadin Naib,130.0
Gurkeerat Singh,106.6006600660066
H Das,33.33333333333333
H Klaasen,160.44374425626887
HC Brook,154.77091214796133
HE van der Dussen,103.96825396825398
HF Gurney,6.666666666666667
HH Gibbs,110.69567666525842
HH Pandya,139.49598088203345
HM Amla,147.32929200503258
HR Shokeen,86.36995827538247
HV Patel,117.59410801963995
Harbhajan Singh,133.12779077184774
Harmeet Singh,212.12121212121212
Harpreet Brar,107.37265415549598
Harpreet Singh,92.90375203915171
Harsh Dubey,141.1764705882353
Harshit Rana,161.2137203166227
I Malhotra,160.0
I Sharma,69.92481203007519
I Udana,144.0
IC Pandey,0.0
IK Pathan,112.2322496466239
IR Jaggi,77.62803234501348
IS Sodhi,42.70833333333333
Imran Tahir,88.7218045112782
Iqbal Abdulla,87.75834658187598
Ishan Kishan,139.6301150429591
J Arunkumar,85.47486033519553
J Botha,104.89795918367346
J Fraser-McGurk,186.35968722849697
J Overton,137.11943793911007
J Suchith,103.72093023255815
J Syed Mohammad,113.28125
J Theron,75.75757575757575
J Yadav,111.33333333333333
JA Morkel,131.90989496959645
JA Richardson,65.55555555555556
JC Archer,151.90697674418604
JC Buttler,147.7012648062638
JD Ryder,142.56655698474424
JD Unadkat,119.89847715736042
JDP Oram,94.02061855670102
JDS Neesham,94.8948948948949
JE Root,73.33333333333333
JE Taylor,75.0
JEC Franklin,101.587656529517
JG Bethell,172.85223367697594
JH Kallis,110.77182420228777
JJ Bumrah,110.98484848484848
JJ Roy,149.74772956609485
JJ van der Wath,120.0
JL Denly,0.0
JL Pattinson,119.6078431372549
JM Bairstow,152.359470829743
JM Kemp,110.34482758620689
JM Sharma,158.23850350740452
JO Holder,121.15637319316687
JP Behrendorff,60.0
JP Duminy,109.45246226726893
JP Faulkner,118.28125
JP Inglis,169.44312232270346
JPR Scantlebury-Searles,81.25
JR Hazlewood,51.66666666666667
JR Hopes,130.77095472882115
JR Philippe,102.88844621513944
Jaskaran Singh,63.63636363636363
Joginder Sharma,113.11475409836065
K Goel,93.10054690786706
K Gowtham,179.8050139275766
K Kartikeya,64.91228070175438
K Rabada,117.84037558685445
K Upadhyay,143.24324324324326
K Yadav,0.0
KA Jamieson,101.6025641025641
KA Maharaj,66.66666666666666
KA Pollard,138.65645721503
KAJ Roach,157.77777777777777
KB Arun Karthik,105.03355704697988
KC Cariappa,103.03030303030303
KC Sangakkara,117.35563269170086
KD Karthik,129.7887216238065
KH Pandya,128.0970276733857
KJ Abbott,134.7826086956522
KK Ahmed,33.33333333333333
KK Cooper,176.33802816901408
KK Nair,132.55952059601577
KL Nagarkoti,60.810810810810814
KL Rahul,130.5990363640722
KM Asif,0.0
KM Jadhav,121.42034548944338
KMA Paul,59.210526315789465
KMDN Kulasekara,233.33333333333334
KP Appanna,60.0
KP Pietersen,134.33274021352312
KR Mayers,147.78389719381065
KR Sen,0.0
KS Bharat,118.3977313009571
KS Rathore,0.0
KS Sharma,55.27950310559007
KS Williamson,119.5305921975863
KT Maphaka,400.0
KV Sharma,114.37016825829922
KW Richardson,96.28571428571429
Kamran Akmal,169.40509915014164
Kamran Khan,53.333333333333336
Karanveer Singh,75.92592592592592
Kartik Sharma,134.48275862068965
Kartik Tyagi,115.99999999999999
Kuldeep Yadav,83.54354354354354
Kumar Kushagra,125.42372881355932
L Ablish,0.0
L Balaji,81.14285714285714
L Ngidi,50.0
L Ronchi,109.77011494252874
L Wood,316.66666666666663
LA Carseldine,114.23027166882275
LA Pomersbach,110.85100523271826
LB Williams,33.33333333333333
LE Plunkett,25.0
LG Pretorius,0.0
LH Ferguson,150.79365079365078
LJ Wright,164.80446927374302
LMP Simmons,125.8974358974359
LPC Silva,164.84848484848484
LR Shukla,115.32120523024444
LRPL Taylor,116.84552525351974
LS Livingstone,154.35647943387883
Lalit Yadav,100.93567251461988
Liton Das,160.0
M Ashwin,70.35398230088495
M Jansen,105.84737363726462
M Kaif,97.63196842624569
M Kartik,108.28488372093024
M Klinger,105.38461538461539
M Manhas,103.94662657395226
M Markande,109.80392156862746
M Morkel,135.1123595505618
M Muralitharan,73.19587628865979
M Ntini,42.71844660194174
M Prasidh Krishna,46.3768115942029
M Rawat,90.66666666666666
M Shahrukh Khan,138.3509513742072
M Theekshana,53.987730061349694
M Tiwari,70.0
M Vijay,126.46761279879759
M Vohra,129.69543147208122
M de Lange,66.66666666666666
MA Agarwal,136.501836484832
MA Khote,87.75510204081633
MA Starc,100.91984231274638
MA Wood,123.52941176470588
MC Henriques,119.93014177111156
MC Juneja,111.76811594202898
MD Choudhary,139.48667324777887
MD Mishra,109.74196945760927
MD Shanaka,104.11764705882354
MDKJ Perera,92.40506329113924
MEK Hussey,120.95721992221804
MF Maharoof,125.83025830258303
MG Bracewell,118.69918699186992
MG Johnson,93.14888010540184
MJ Clarke,111.57894736842104
MJ Guptill,136.72145328719722
MJ Henry,70.58823529411765
MJ Lumb,155.76923076923077
MJ McClenaghan,145.07575757575756
MJ Owen,0.0
MJ Santner,96.31979695431471
MJ Suthar,66.66666666666666
MK Lomror,132.18002081165452
MK Pandey,121.7816210538163
MK Tiwary,110.2474291616148
ML Hayden,135.2398275397467
MM Ali,144.6310966879832
MM Patel,127.53623188405795
MM Sharma,98.20261437908496
MN Samuels,98.99683210137276
MN van Wyk,123.62919132149901
MP Breetzke,152.56410256410254
MP Stoinis,140.3323016777977
MR Marsh,142.83144450440724
MS Bhandage,30.0
MS Bisla,124.43762781186093
MS Dhoni,119.34774498831753
MS Gony,161.03151862464182
MS Wade,114.01129943502826
MV Boucher,110.73129728215186
MW Short,131.2442396313364
Mandeep Singh,124.19114810119605
Mashrafe Mortaza,133.33333333333331
Mayank Dagar,0.0
Misbah-ul-Haq,115.46762589928056
Mohammad Ashraful,16.923076923076923
Mohammad Asif,56.25
Mohammad Hafeez,68.47133757961782
Mohammad Nabi,132.9875518672199
Mohammed Shami,107.41839762611276
Mohammed Siraj,75.73770491803279
Mohit Rathee,66.66666666666666
Mohsin Khan,100.0
Mujeeb Ur Rahman,140.625
Mukesh Choudhary,84.61538461538461
Mukesh Kumar,58.46153846153847
Musheer Khan,0.0
Mustafizur Rahman,46.26865671641791
N Burger,46.666666666666664
N Jagadeesan,112.48097412480975
N Pooran,168.8094698685999
N Rana,135.52074249408247
N Saini,119.30599369085174
N Wadhera,131.2182061579652
ND Doshi,0.0
NJ Maddinson,118.82352941176471
NJ Rimmington,100.0
NK Patel,108.93271461716938
NL McCullum,109.43396226415094
NLTC Perera,144.90472245236123
NM Coulter-Nile,119.85559566787003
NS Naik,78.53403141361257
NT Ellis,68.33333333333333
NV Ojha,116.26639516080732
Naman Dhir,175.22022213711222
Navdeep Saini,86.06060606060606
Naveen-ul-Haq,61.111111111111114
Nithish Kumar Reddy,129.95278894911698
Noor Ahmad,48.167539267015705
OA Shah,116.52231845436376
OC McCoy,206.66666666666669
OF Smith,79.46127946127946
P Awana,42.857142857142854
P Chopra,133.33333333333331
P Dogra,84.02242466713385
P Dubey,77.0764119601329
P Kumar,113.58664363845712
P Negi,119.62151394422311
P Nissanka,167.12454212454213
P Parameswaran,50.0
P Ray Barman,74.3421052631579
P Sahu,137.9746835443038
P Simran Singh,154.70232959447802
PA Patel,122.28443113772455
PA Reddy,109.97289972899729
PBB Rajapaksa,142.2774327122153
PC Valthaty,138.30769230769232
PD Collingwood,114.10378860235593
PD Salt,177.20523158619332
PHKD Mendis,138.52459016393445
PJ Cummins,156.01958525345623
PJ Sangwan,47.69230769230769
PK Garg,116.1965811965812
PM Sarvesh Kumar,33.33333333333333
PN Mankad,127.78198334595004
PP Chawla,101.26247798003523
PP Ojha,25.185185185185183
PP Shaw,155.11495807411416
PR Shah,91.10012360939432
PR Veer,141.2526997840173
PSP Handscomb,46.15384615384615
PV Tambe,49.80237154150198
PVD Chameera,130.0
PVSN Raju,100.0
PWA Mulder,74.32432432432432
PWH de Silva,75.0
Pankaj Singh,61.53846153846154
Parvez Rasool,91.78082191780823
Prince Yadav,36.0
Priyansh Arya,199.8179335457442
Q de Kock,140.64621766182734
R Ashwin,112.16814159292035
R Bhatia,107.15563506261181
R Bishnoi,134.8623853211009
R Dhawan,95.72118702553485
R Dravid,113.66667740584427
R McLaren,81.95597257307831
R Minz,40.27777777777778
R Ninan,61.904761904761905
R Parag,132.79893542868007
R Powell,145.41078305519898
R Rampaul,96.26168224299066
R Ravindra,142.78897136797454
R Sai Kishore,96.22641509433963
R Sanjay Yadav,0.0
R Sathish,112.58992805755396
R Sharma,93.04635761589404
R Shepherd,193.30357142857142
R Shukla,101.85185185185186
R Tewatia,121.17314124003087
R Vinay Kumar,102.00617283950618
RA Bawa,61.76470588235294
RA Jadeja,118.29219528154422
RA Tripathi,143.6782087564508
RD Chahar,104.69973890339426
RD Gaikwad,134.08302206680972
RD Rickelton,161.2364075714861
RE Levi,121.03049421661409
RE van der Merwe,112.1354656632173
RG More,100.0
RG Sharma,130.58864632758173
RJ Gleeson,133.33333333333331
RJ Harris,92.9245283018868
RJ Peterson,130.625
RJ Quiney,97.67282683093771
RJW Topley,33.33333333333333
RK Bhui,54.83870967741935
RK Singh,134.5138373449263
RM Patidar,155.56206088992974
RN ten Doeschate,121.93808882907133
RP Meredith,0.0
RP Singh,80.44692737430168
RR Bhatkal,0.0
RR Pant,139.82116703923532
RR Powar,80.29925187032418
RR Raje,115.38461538461537
RR Rossouw,160.95908261662757
RR Sarwan,105.12223515715948
RS Bopara,109.70836033700584
RS Gavaskar,27.77777777777778
RS Sodhi,266.66666666666663
RT Ponting,73.74443738080102
RV Gomez,77.3936170212766
RV Patel,92.71028037383178
RV Uthappa,126.6253658035699
Rahmanullah Gurbaz,137.20346078704998
Ramandeep Singh,145.24647887323943
Rashid Khan,175.8594917787743
Rasikh Salam,87.02702702702703
Ravi Bishnoi,73.992673992674
S Anirudha,123.51982618142314
S Aravind,91.88191881918819
S Arora,138.5964912280702
S Badree,62.365591397849464
S Badrinath,109.95394443619075
S Chanderpaul,101.04712041884815
S Dhawan,128.49155908639523
S Dube,139.9921440996577
S Gopal,95.2572347266881
S Kaul,44.18604651162791
S Kaushik,0.0
S Ladda,0.0
S Lamichhane,0.0
S Nadeem,51.178451178451176
S Narwal,165.5737704918033
S Rana,102.36363636363637
S Randiv,60.0
S Sohal,123.54606278950078
S Sreesanth,48.4
S Sriram,94.8559670781893
S Tyagi,80.0
S Vidyut,149.19416730621643
SA Abbott,111.42857142857143
SA Asnodkar,127.76691435275713
SA Yadav,146.3780663780664
SB Bangar,75.0
SB Dubey,157.80590717299577
SB Jakati,78.4
SB Joshi,47.61904761904761
SB Styris,84.90127758420442
SB Wagh,100.0
SC Ganguly,112.23849840971197
SD Chitnis,94.98207885304659
SD Hope,136.1005331302361
SD Lad,169.23076923076923
SE Bond,66.66666666666666
SE Marsh,129.4545929018789
SE Rutherford,133.7296772628003
SH Johnson,91.66666666666666
SJ Srivastava,100.0
SK Raina,134.83396443987348
SK Rasheed,107.54716981132076
SK Trivedi,65.17412935323384
SK Warne,92.43511871893982
SL Malinga,73.80952380952381
SM Curran,128.36798336798336
SM Harwood,71.42857142857143
SM Katich,145.16011644832605
SM Pollock,103.03278688524591
SMSM Senanayake,60.416666666666664
SN Khan,130.7394252502422
SN Thakur,159.04821540388227
SO Hetmyer,142.4481737413623
SP Fleming,111.98568872987478
SP Goswami,102.91044776119402
SP Jackson,92.62820512820514
SP Narine,182.71435906212562
SPD Smith,123.60339280491372
SR Tendulkar,117.64512775619632
SR Watson,135.1222899802513
SS Cottrell,0.0
SS Iyer,131.4854358868042
SS Prabhudessai,126.52552926525529
SS Shaikh,71.42857142857143
SS Tiwary,110.84573670243452
ST Jayasuriya,141.90131748902093
STR Binny,124.29044053630507
SV Samson,144.29001829202684
SW Billings,129.9097065462754
SW Tait,101.52671755725191
SZ Mulani,100.0
Sachin Baby,112.1354656632173
Salman Butt,106.41106222501571
Sameer Rizvi,129.46601941747574
Sandeep Sharma,80.18867924528303
Sanvir Singh,115.94202898550725
Saurav Chauhan,126.22950819672131
Sediqullah Atal,128.6764705882353
Shahbaz Ahmed,117.19942256135285
Shahid Afridi,183.41463414634148
Shakib Al Hasan,121.49545970488083
Shashank Singh,152.2898154477102
Shivam Mavi,132.54901960784312
Shivam Sharma,225.0
Shivam Singh,66.66666666666666
Shivang Kumar,146.15384615384613
Shoaib Ahmed,10.0
Shoaib Akhtar,28.57142857142857
Shoaib Malik,125.7336343115124
Shubman Gill,141.6059038505676
Sikandar Raza,129.7645739910314
Simarjeet Singh,62.06896551724138
Sohail Tanvir,128.82882882882882
Sumit Kumar,51.69491525423729
Sunny Gupta,0.0
Sunny Singh,170.86614173228347
Suryansh Shedge,78.57142857142857
Swapnil Singh,94.6938775510204
T Banton,89.16666666666667
T Henderson,50.413223140495866
T Kohler-Cadmore,93.42105263157895
T Kohli,55.670103092783506
T Natarajan,50.0
T Shamsi,30.0
T Stubbs,141.8814644557544
T Taibu,115.94202898550725
T Thushara,59.01639344262295
TA Boult,129.12621359223303
TD Paine,43.269230769230774
TG Southee,112.24209078404401
TH David,161.10217216411905
TK Curran,106.50128314798974
TL Seifert,170.8955223880597
TL Suman,115.52653988078343
TM Dilshan,112.58380041762832
TM Head,175.5907602442694
TM Srivastava,61.702127659574465
TR Birt,118.53785900783289
TS Mills,54.83870967741935
TU Deshpande,215.03759398496243
Tanush Kotian,77.46478873239437
Tilak Varma,139.19614147909968
U Kaul,0.0
UA Birla,49.137931034482754
UBT Chand,103.99790958975699
UT Khawaja,124.4773519163763
UT Yadav,113.87900355871888
Umar Gul,234.14634146341461
Umran Malik,138.88888888888889
Urvil Patel,194.71698113207546
V Kohli,130.86794686103192
V Nigam,186.32075471698113
V Pratap Singh,0.0
V Sehwag,162.84867120579838
V Shankar,116.77802524127692
V Suryavanshi,231.0947204968944
V Viyaskanth,113.33333333333333
VG Arora,25.352112676056336
VH Zol,118.0327868852459
VR Aaron,53.735632183908045
VR Iyer,145.1951042171595
VRV Singh,200.0
VS Malik,88.88888888888889
VS Yeligati,133.33333333333331
VVS Laxman,115.75277337559429
VY Mahesh,53.57142857142857
Vijaykumar Vyshak,133.33333333333331
Virat Singh,58.46994535519126
Vishnu Vinod,112.78772378516624
Vivrant Sharma,127.44610281923714
W Jaffer,105.68039950062422
WA Mota,70.26627218934911
WD Parnell,65.50925925925925
WG Jacks,154.21810699588477
WP Saha,129.54659161976235
WPUJC Vaas,106.90537084398977
Washington Sundar,133.5874335874336
X Thalaivan Sargunam,60.78431372549019
XC Bartlett,81.48148148148148
Y Gnaneswara Rao,107.10059171597632
Y Nagar,87.16065154902587
Y Prithvi Raj,0.0
Y Venugopal Rao,108.78946385204557
YA Abdulla,0.0
YBK Jaiswal,161.6032169566688
YK Pathan,143.098496997725
YS Chahal,27.12215320910973
YV Dhull,74.28571428571429
YV Takawale,95.70262140094542
Yash Dayal,54.166666666666664
Yashpal Singh,58.34658187599364
Younis Khan,53.57142857142857
Yudhvir Singh,144.82758620689654
Yuvraj Singh,121.52765069721481
Z Khan,83.53096179183136
